date,content
2021-05-03 23:59:56+00:00,"I'm excited to continue my academic &amp; basketball career @ Knox College! I committed at the end of March but I don't go on twitter. Thank you to all who have supported me. Thank you @CoachBenKnox &amp; Coach Jackson. I'm ready to learn and grow! @KnoxMBB, 
@CRHS_Hoops,@IndyIceAAU https://t.co/GwNWGsSnfR"
2021-05-03 23:59:56+00:00,"𝐁𝐋𝐀𝐂𝐊 𝐒𝐌𝐎𝐊𝐄 𝐀𝐍𝐃 𝐖𝐇𝐈𝐓𝐄 𝐅𝐋𝐀𝐌𝐄 
𝗯𝘆 𝗟𝗶𝘁𝘁𝗹𝗲𝗟𝗼𝘀𝘁𝗦𝘁𝗮𝗿

𝘈 𝘉𝘦𝘢𝘶𝘵𝘺 𝘢𝘯𝘥 𝘵𝘩𝘦 𝘉𝘦𝘢𝘴𝘵 #𝘋𝘢𝘳𝘬𝘭𝘪𝘯𝘢 𝘈𝘜, 𝘪𝘯 𝘵𝘸𝘰 𝘱𝘢𝘳𝘵𝘴.

(Rated M, 9k, Complete) 

Read it here: https://t.co/ZwDpIAcxAG https://t.co/tm2ZRTrDid"
2021-05-03 23:59:56+00:00,@SinkFPS fuk you https://t.co/KndPZ0G902
2021-05-03 23:59:56+00:00,"Madison Cadle of Claymont is the girls 100m dash champion at the 2021 Tuscarawas County Classic with a time of 12.94.

2nd Macey Hicks, Tusky Valley 13.23
3rd Kamry Folkert, Dover 13.30
4th Jade Gibson, Claymont 13.52
5th Rylee Dillon, TCC 13.64 https://t.co/B0WcCbdBLy"
2021-05-03 23:59:56+00:00,@Idney_Bean I kinda love this one 😉 https://t.co/u7gDAQ1hBr
2021-05-03 23:59:56+00:00,The fact that Pokémon Snap doesn’t take the rule of thirds into account is bullshit.
2021-05-03 23:59:56+00:00,@AgentD0T @SgtGreyBeard @DBTheDivision @TheDivisionGame @RawsonThurber @Agent_Mab @goosecosplay1 @miniKenga111 @melihcarter @djtickle @nohopeoutthere @moonlight1907 @skumy6661 @the0pro @JHCL56 @alucardfreak @Frostie_4 @PlayColdFrame @jonelang @AgentCivi @EidolonFox @Shrapnel_117 @PhoenixNickolas @6Golf3Bravo Adding some of the Survival Crew: @Beebe504 @OldJonnyP @TooEasy201 @Onix1962 @neur0nix_ @dreck2100 @agentfshep
2021-05-03 23:59:56+00:00,Bladee and Yung Lean https://t.co/2POWI6Sr6K
2021-05-03 23:59:56+00:00,First time making homemade hummus! https://t.co/X8ChmaEYu3
2021-05-03 23:59:56+00:00,My son is disagree with every single word that comes out of my mouth years old.
2021-05-03 23:59:56+00:00,#IFellInLove when I wasn't looking. https://t.co/Wgn7beRUdS
2021-05-03 23:59:56+00:00,the way riku talks about sora is the softest thing in the world https://t.co/Wgp58ltNv6
2021-05-03 23:59:56+00:00,"@IVYconnect @IvanDuque I believe you meant ""how to lead a country into a dictatorship and a socioeconomic crisis"", because that's all he's done."
2021-05-03 23:59:56+00:00,"I have been mulling something from a conversation on here, about churches, worship, and not being ableist. Folks were wondering how we can invite people to sit/stand/kneel etc and acknowledge that not all bodies can, and I'm finally feeling like I've got something to add..."
2021-05-03 23:59:56+00:00,"fictitious prof in (British) TV show: 'listen, I spend all my time teaching grad students and on research' - HAHAHAHAHA"
2021-05-03 23:59:56+00:00,"Congratulations to Jamaican Rally Cross driver Fraser McConnell on his superb start to the 2021 Rally X Nordic season! 🏁

After copping a first ever win in the Supercar class 🥇 he will compete in Sweden next. Keep repping! @frasermcconnell 🇯🇲 https://t.co/u9tiq2haNx"
2021-05-03 23:59:56+00:00,"got to go to the secret white stripes shows at the ymca on grosvenor in toronto, also saw foo fighters in a kid's garage in keswick ontario https://t.co/vgqPVooErZ"
2021-05-03 23:59:56+00:00,@JacobKaplan17 “PhD in ser vs. estar” sent me into orbit
2021-05-03 23:59:55+00:00,"By the way, @ScottMorrisonMP, I would quite like to see the signed contract for the delivery of the additional 20 million Pfizer vaccines, with the committed to delivery date please.  And the penalty clause for not delivering on time. By COB. (Giving you another chance...)"
2021-05-03 23:59:55+00:00,"gonna make a list so i can interact with y’all more, reply to be in it :) https://t.co/AtP2R2PU5w"
2021-05-03 23:59:55+00:00,"Frankie in her Episode 14 design, you’ll see it soon https://t.co/kkpVthMlfF"
2021-05-03 23:59:55+00:00,No but she was actually so sick for this I know those Glendale ppl pissed themselves cuz what? https://t.co/YeW63dj8Xb
2021-05-03 23:59:55+00:00,Right??😂😡 https://t.co/7KI8uuepbo
2021-05-03 23:59:55+00:00,"@stephenaltrogge The priest has to be a male because the church is the bride of Christ and the priest marries the bride and “inserts his seed into her” (accompanied by hand gestures) into his bride to bring about new life.
I almost fucking threw up in my mouth."
2021-05-03 23:59:55+00:00,@Ejbarbs @neontaster I enjoyed his deadpan “congratulations” reply to her announcement.
2021-05-03 23:59:55+00:00,THESE PICTURES ARE EIGHT YEARS APART WHO IS SHE IM— https://t.co/je9pCAEaxV
2021-05-03 23:59:55+00:00,@CPTCommo13 The before PT meeting is the worst. All other answers are wrong
2021-05-03 23:59:55+00:00,can’t believe i’m walking around fully vaccinate with all this ass
2021-05-03 23:59:55+00:00,"Although I didnt get funding for all year, I'm excited to say I did recieved a fully funded Dissertation Quarter from the UC Dissertation Year Fellowship!"
2021-05-03 23:59:54+00:00,"Thank you @athleisuremag for the fun feature!!! If y’all know me, you know these are my MUST HAVES! &amp; @TheHerd STAYS on my #9List 🤩🏈 https://t.co/5DFwClB6kc"
2021-05-03 23:59:54+00:00,"。　☆ 。　     ☆。　      ☆ 
☆。　＼　　  ｜　　    ／。　☆
            open this thread 
                if taylena is  
        your comfort place
  ☆。　／　    ｜　　＼。　☆ 
。　  ☆。 　　  。　　☆。"
2021-05-03 23:59:54+00:00,"when someone opens up to you... listen to them and thank them for sharing their story with you, it was hard for them to come to that point so listen and be kind 
u never know what people are going thru #MentalHealthAwarenessMonth"
2021-05-03 23:59:54+00:00,"No, I'm a terrible reader, so another (professional book reader) will do it. https://t.co/CTlq21JEZA"
2021-05-03 23:59:54+00:00,"#MarvelInsider is watching Marvel’s #ArenaOfHeroes. Are you? In honor of the game, enter the code ARENAHEROES at https://t.co/WB0EHkUnK0 for 10,000 bonus points. Code valid until 5/5/21 11:59 PM ET. Terms apply.
 
Not an Insider? Join now. Terms apply. https://t.co/lIQQgcTgSC https://t.co/xqlcQ98kuH"
2021-05-03 23:59:54+00:00,"$POP roadmap revealed today which explains the price upsurge. 
https://t.co/VLqqIKLp2P"
2021-05-03 23:59:54+00:00,@ZJemptv This is supported by the 2018 Australian TGD Sexual Health study conducted by The Kirby Institute. The average person took 10 years to fully come out. https://t.co/0J0sq0yKwc
2021-05-03 23:59:54+00:00,"""No Love just vibes"" is catching feelings 🤣"
2021-05-03 23:59:54+00:00,Amazing footage! https://t.co/wVeqBgae8R
2021-05-03 23:59:54+00:00,What is Marvel
2021-05-03 23:59:54+00:00,Told you before that it’s over 💔 https://t.co/BMWFUnLSIy
2021-05-03 23:59:53+00:00,Carr stan starter pack... https://t.co/2fNvCkjbN5
2021-05-03 23:59:53+00:00,"San Diego, CA is a great city with a great name. Let's change the Saint it's named after to St. Juan Diego!
https://t.co/CriRFxUSIf"
2021-05-03 23:59:53+00:00,"Happy customers, each and every one! Contact me for all your head shaving needs- I'll shave your head! https://t.co/Mpwdx7SYmu"
2021-05-03 23:59:53+00:00,"Get excited Risers – Michael Slefinger (@lilgaysnack), co-writer for tonight's episode, will be taking over to share his thoughts, behind-the-scenes stories, and answer some questions. See you in one hour! #AllRise https://t.co/P5H7WuoeyA"
2021-05-03 23:59:53+00:00,Still with you
2021-05-03 23:59:53+00:00,"Support a shelter for victims of domestic violence in one of the most dangerous regions of Russia, where women have no rights. 

We provide housing, food, medical care, pay for surgeries, so severely injured women could walk and see again.

https://t.co/eZ44PxRP30"
2021-05-03 23:59:53+00:00,Always posing https://t.co/gnXFjQgV3L
2021-05-03 23:59:53+00:00,Why is nuance so challenging for people?
2021-05-03 23:59:53+00:00,“ON YOUR LEFT!” SHUT YOUR MOUTH
2021-05-03 23:59:53+00:00,"😍 Android #GDE and Principal Software Engineer @GoDaddy @riggaroo offers some great career advice in her newest #WomenAreExperts blog! 

Check it out ↓ https://t.co/OvJr239FBc"
2021-05-03 23:59:53+00:00,@AmesCG @clapifyoulikeme there's a frightening amount of columnists this could apply to!
2021-05-03 23:59:53+00:00,I know Fred is trying his best but he needs to step it up https://t.co/gmlGesPUPm
2021-05-03 23:59:53+00:00,"Also no, I'm never not wearing this romper, why do you ask"
2021-05-03 23:59:53+00:00,"Posted a FREE Photo Gallery on https://t.co/7oL9vsrBfM: @B_rentS takes you behind the lens during Sunday's Kevin Gobrecht Classic @bapsrace. 

Link: https://t.co/qPvx0xLjFY https://t.co/xf7xHYkCNY"
2021-05-03 23:59:53+00:00,"At the 5-minute mark of his interview on the @RichEisenShow Kyle Shanahan mentions Trey Lance and Mac Jones as the two QBs he was considering most seriously after trading the pick. 

https://t.co/IfnMJaqxYc"
2021-05-03 23:59:53+00:00,"Dan Radcliffe, on his impassioned disdain for dolphins: https://t.co/nU7eNy2bGO"
2021-05-03 23:59:52+00:00,@GoofyYaHurd @KNG_Flashy counter ratio
2021-05-03 23:59:52+00:00,"I wanted to prove something to myself. The claim that there was NO setup for Ainosuke to not be irredeemably ""evil"" until late in the series. As early as ep. 4, before he even skates with Reki, we are introduced to his aunts who literally ask him if he's been an embarrassment"
2021-05-03 23:59:52+00:00,That's what I'm talking about!!!! Congratulations @selaamxo!!! 🎊🎉 https://t.co/pFpwZ7FPvM
2021-05-03 23:59:52+00:00,"Du’as requested please, really struggling with some stuff. Please and thank you in advance."
2021-05-03 23:59:52+00:00,Twitter blocked my like function like its highway 413..
2021-05-03 23:59:52+00:00,@_benjvmins_ She was very anti-Black!! They way she talked about Erika within the 1st five minutes had me sickkkk!
2021-05-03 23:59:52+00:00,Welcome news for Americans who are all vaxxed up with nowhere to go. https://t.co/nwqUZbWgFV
2021-05-03 23:59:52+00:00,Not sure how I missed this fantastic roundup by ⁦@karlajstrand⁩ for #nationalpoetrymonth 😱SO MANY great poetry books by ⁦⁦@karlajstrand⁩ ⁦⁦@tagreathouse⁩ ⁦@arisaw⁩ ⁦@Dalai_Mama_⁩ ⁦@mobrowne⁩ and more!! 📚🎉🎉 https://t.co/9HH6NaI6Zv
2021-05-03 23:59:52+00:00,"LIVE: Praying for America with @frfrankpavone - Monday, May 3, 2021 https://t.co/HWCSGKR4vp"
